cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aagigeib-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aagiofkl-1,TMA00316,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aagjepdf-1,TMA00316,Proprioceptors,False,False,False,Proprioceptors
aagnchan-1,TMA00316,Adelta-LTMR,False,False,False,Adelta-LTMR
aahbfdme-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaheppjd-1,TMA00316,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aahiadbb-1,TMA00316,Adelta-LTMR,False,False,False,Adelta-LTMR
aahmhlhf-1,TMA00316,CGRP-Epsilion,False,False,False,CGRP-Epsilion
aaiflail-1,TMA00316,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aaihdajn-1,TMA00316,Adelta-LTMR,False,False,False,Adelta-LTMR
aaijeafj-1,TMA00316,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aaimebfi-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aainiopi-1,TMA00316,CGRP-Eta,False,False,False,CGRP-Eta
aainmmmk-1,TMA00316,CGRP-Zeta,False,False,False,CGRP-Zeta
aajadini-1,TMA00316,Proprioceptors,False,False,False,Proprioceptors
aajcojlp-1,TMA00316,C-LTMR,False,False,False,C-LTMR
aajjkeha-1,TMA00316,CGRP-Alpha,False,False,False,CGRP-Alpha
aakbnfki-1,TMA00316,CGRP-Eta,False,False,False,CGRP-Eta
aaknlifp-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaknndjl-1,TMA00316,Abeta-Field,False,False,False,Abeta-Field
aaknpgjl-1,TMA00316,CGRP-Alpha,False,False,False,CGRP-Alpha
aamdacmh-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aanfpdfh-1,TMA00316,CGRP-Eta,False,False,False,CGRP-Eta
aanhhmda-1,TMA00316,CGRP-Epsilion,False,False,False,CGRP-Epsilion
aanimgjg-1,TMA00316,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aanlcpii-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaoaffcf-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaodfikg-1,TMA00316,CGRP-Theta,True,False,False,CGRP-Theta
abainlfj-1,TMA00316,C-LTMR,False,False,False,C-LTMR
abajllde-1,TMA00316,C-LTMR,False,False,False,C-LTMR
abakodng-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abalchgg-1,TMA00316,C-LTMR,False,False,False,C-LTMR
abaoeege-1,TMA00316,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
abaonecm-1,TMA00316,CGRP-Zeta,False,False,False,CGRP-Zeta
abapebne-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abbaoeji-1,TMA00316,TrpM8,False,False,False,TrpM8
abbdkolj-1,TMA00316,CGRP-Zeta,False,False,False,CGRP-Zeta
abbfcioc-1,TMA00316,Abeta-Field,False,False,False,Abeta-Field
abbgmgpi-1,TMA00316,CGRP-Eta,False,False,False,CGRP-Eta
abbhbijp-1,TMA00316,C-LTMR,False,False,False,C-LTMR
abbhgfal-1,TMA00316,CGRP-Zeta,False,False,False,CGRP-Zeta
abbilenp-1,TMA00316,Proprioceptors,False,False,False,Proprioceptors
abbnephc-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abbpkmde-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abcbpbbf-1,TMA00316,TrpM8,False,False,False,TrpM8
abchgkjo-1,TMA00316,CGRP-Zeta,False,False,False,CGRP-Zeta
abcjafkf-1,TMA00316,Abeta-Field,False,False,False,Abeta-Field
abcjmocn-1,TMA00316,Adelta-LTMR,False,False,False,Adelta-LTMR
abcledia-1,TMA00316,Proprioceptors,False,False,False,Proprioceptors
abcmgmmg-1,TMA00316,CGRP-Zeta,False,False,False,CGRP-Zeta
abcpjajm-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abdbajba-1,TMA00316,CGRP-Eta,False,False,False,CGRP-Eta
abdcjgle-1,TMA00316,TrpM8,False,False,False,TrpM8
abdhmioa-1,TMA00316,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
