cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
acafdnii-1,TMA00317,False,False,False,none
acakncig-1,TMA00317,False,False,False,none
acanmigl-1,TMA00317,False,False,False,none
acaoelej-1,TMA00317,False,False,False,none
acapfpgc-1,TMA00317,False,False,False,none
acbcnapn-1,TMA00317,False,False,False,none
acbghkfm-1,TMA00317,False,False,False,none
acbmghfe-1,TMA00317,False,False,False,none
acchceej-1,TMA00317,False,False,False,none
acclhcii-1,TMA00317,False,False,False,none
accpkeem-1,TMA00317,False,False,False,none
acdccobk-1,TMA00317,False,False,False,none
acdiijji-1,TMA00317,False,False,False,none
acdkkecc-1,TMA00317,False,False,False,none
aceabdco-1,TMA00317,False,False,False,none
aceajbke-1,TMA00317,False,False,False,none
aceaofkk-1,TMA00317,False,False,False,none
aceebncg-1,TMA00317,False,False,False,none
aceeldhp-1,TMA00317,False,False,False,none
acejmdel-1,TMA00317,False,False,False,none
acekgime-1,TMA00317,False,False,False,none
acelbamn-1,TMA00317,False,False,False,none
acelohgj-1,TMA00317,False,False,False,none
acfckbkl-1,TMA00317,False,False,False,none
acfeoigi-1,TMA00317,False,False,False,none
acgbjeah-1,TMA00317,False,False,False,none
acgenkkd-1,TMA00317,False,False,False,none
acghgpej-1,TMA00317,False,False,False,none
acgicbfk-1,TMA00317,False,False,False,none
acgiimke-1,TMA00317,False,False,False,none
acgjeank-1,TMA00317,False,False,False,none
acgmende-1,TMA00317,False,False,False,none
acgmiepc-1,TMA00317,False,False,False,none
achefamd-1,TMA00317,False,False,False,none
achjlmgm-1,TMA00317,False,False,False,none
achkmcnm-1,TMA00317,False,False,False,none
acigihpc-1,TMA00317,False,False,False,none
acjniomk-1,TMA00317,False,False,False,none
ackggdfi-1,TMA00317,False,False,False,none
ackihohg-1,TMA00317,False,False,False,none
ackknpko-1,TMA00317,False,False,False,none
acknehld-1,TMA00317,False,False,False,none
ackohfod-1,TMA00317,False,False,False,none
aclglgkj-1,TMA00317,False,False,False,none
aclkbanl-1,TMA00317,False,False,False,none
