cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
gbcajomk-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gbcdiehn-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gbdfdmkf-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
gbdljdbk-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
gbeeimfk-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gbegdadi-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gbipcojk-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcaehiop-1,TMA00317,Sst,False,False,False,Sst
gcapefij-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcbaoedn-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gcbpjngl-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gccjncdc-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gccldheg-1,TMA00317,CGRP-Beta,False,False,False,CGRP-Beta
gcdbibhl-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gcdcpphm-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcdgfpgb-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcdnbfmc-1,TMA00317,CGRP-Alpha,False,False,False,CGRP-Alpha
gcdofllh-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcebbfhc-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcecejeo-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gcfomfhb-1,TMA00317,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
gcgiobjm-1,TMA00317,CGRP-Beta,False,False,False,CGRP-Beta
gcgipgic-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcgjdlgl-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcgkpiac-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcgofabl-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gchcpffa-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
