cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aagigeib-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aagiofkl-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aagjepdf-1,TMA00316,Proprioceptors,False,False,False,none
aagnchan-1,TMA00316,Adelta-LTMR,False,False,False,none
aahbfdme-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aaheppjd-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aahiadbb-1,TMA00316,Adelta-LTMR,False,False,False,none
aahmhlhf-1,TMA00316,CGRP-Epsilion,False,False,False,none
aaiflail-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aaihdajn-1,TMA00316,Adelta-LTMR,False,False,False,none
aaijeafj-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aaimebfi-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aainiopi-1,TMA00316,CGRP-Eta,False,False,False,none
aainmmmk-1,TMA00316,CGRP-Zeta,False,False,False,none
aajadini-1,TMA00316,Proprioceptors,False,False,False,none
aajcojlp-1,TMA00316,C-LTMR,False,False,False,none
aajjkeha-1,TMA00316,CGRP-Alpha,False,False,False,none
aakbnfki-1,TMA00316,CGRP-Eta,False,False,False,none
aaknlifp-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aaknndjl-1,TMA00316,Abeta-Field,False,False,False,none
aaknpgjl-1,TMA00316,CGRP-Alpha,False,False,False,none
aamdacmh-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aanfpdfh-1,TMA00316,CGRP-Eta,False,False,False,none
aanhhmda-1,TMA00316,CGRP-Epsilion,False,False,False,none
aanimgjg-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aanlcpii-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aaoaffcf-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aaodfikg-1,TMA00316,CGRP-Theta,True,False,False,EGFP_Seq1_hi
abainlfj-1,TMA00316,C-LTMR,False,False,False,none
abajllde-1,TMA00316,C-LTMR,False,False,False,none
abakodng-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abalchgg-1,TMA00316,C-LTMR,False,False,False,none
abaoeege-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abaonecm-1,TMA00316,CGRP-Zeta,False,False,False,none
abapebne-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abbaoeji-1,TMA00316,TrpM8,False,False,False,none
abbdkolj-1,TMA00316,CGRP-Zeta,False,False,False,none
abbfcioc-1,TMA00316,Abeta-Field,False,False,False,none
abbgmgpi-1,TMA00316,CGRP-Eta,False,False,False,none
abbhbijp-1,TMA00316,C-LTMR,False,False,False,none
abbhgfal-1,TMA00316,CGRP-Zeta,False,False,False,none
abbilenp-1,TMA00316,Proprioceptors,False,False,False,none
abbnephc-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abbpkmde-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abcbpbbf-1,TMA00316,TrpM8,False,False,False,none
abchgkjo-1,TMA00316,CGRP-Zeta,False,False,False,none
abcjafkf-1,TMA00316,Abeta-Field,False,False,False,none
abcjmocn-1,TMA00316,Adelta-LTMR,False,False,False,none
abcledia-1,TMA00316,Proprioceptors,False,False,False,none
abcmgmmg-1,TMA00316,CGRP-Zeta,False,False,False,none
abcpjajm-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abdbajba-1,TMA00316,CGRP-Eta,False,False,False,none
abdcjgle-1,TMA00316,TrpM8,False,False,False,none
abdhmioa-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
abdjbpji-1,TMA00316,C-LTMR,False,False,False,none
abdjgfac-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abdjnoma-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abdkelah-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abdlhbng-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abdmjhne-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abdnfljh-1,TMA00316,C-LTMR,False,False,False,none
abdnhcfb-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abdnomcf-1,TMA00316,C-LTMR,False,False,False,none
abdogkha-1,TMA00316,Sst,False,False,False,none
abdoleab-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abebhofk-1,TMA00316,CGRP-Eta,False,False,False,none
abecgnjh-1,TMA00316,C-LTMR,False,False,False,none
abehjodn-1,TMA00316,Proprioceptors,False,False,False,none
abeooacb-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
abepdcge-1,TMA00316,Proprioceptors,False,False,False,none
abfcfbda-1,TMA00316,CGRP-Zeta,False,False,False,none
abfdkobc-1,TMA00316,TrpM8,False,False,False,none
abfgdfck-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abfmlnjg-1,TMA00316,TrpM8,False,False,False,none
abfogkpb-1,TMA00316,Adelta-LTMR,False,False,False,none
abgajbaf-1,TMA00316,CGRP-Alpha,False,False,False,none
abgamlgo-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abgbjfdb-1,TMA00316,C-LTMR,False,False,False,none
abgcepii-1,TMA00316,Abeta-Field,False,False,False,none
abgciccp-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abgdakgn-1,TMA00316,CGRP-Epsilion,False,False,False,none
abgefoeg-1,TMA00316,CGRP-Alpha,False,False,False,none
abgkgeom-1,TMA00316,Abeta-Field,False,False,False,none
abgocibg-1,TMA00316,Abeta-Field,False,False,False,none
abhepdmk-1,TMA00316,CGRP-Eta,False,False,False,none
abhlfgfl-1,TMA00316,CGRP-Epsilion,False,False,False,none
abhmllga-1,TMA00316,C-LTMR,False,False,False,none
abhopdbf-1,TMA00316,C-LTMR,False,False,False,none
abhplenf-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abieccbb-1,TMA00316,CGRP-Eta,False,False,False,none
abiecjmb-1,TMA00316,C-LTMR,False,False,False,none
abifeiio-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abifllfj-1,TMA00316,CGRP-Gamma 2,False,False,False,none
abigmpop-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abihblol-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abijankb-1,TMA00316,Adelta-LTMR,False,False,False,none
abingaoo-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abingnni-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abioghlh-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abjajkhm-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abjbiemc-1,TMA00316,Abeta-Field,False,False,False,none
abjcdppf-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
abjgjlhm-1,TMA00316,CGRP-Gamma 2,False,False,False,none
abkcbdof-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
abkeliej-1,TMA00316,C-LTMR,False,False,False,none
abkgckei-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abklmeab-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
ablcbjbe-1,TMA00316,TrpM8,False,False,False,none
ablcekkk-1,TMA00316,TrpM8,False,False,False,none
abldhjhc-1,TMA00316,CGRP-Eta,False,True,False,dTomato_Seq2_hi
ablfhgop-1,TMA00316,CGRP-Gamma 2,False,False,False,none
ablheebb-1,TMA00316,C-LTMR,False,False,False,none
ablhfeai-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
ablijmgh-1,TMA00316,CGRP-Theta,False,False,False,none
abmaljki-1,TMA00316,Sst,False,False,False,none
abmedlnj-1,TMA00316,CGRP-Eta,False,False,False,none
abmeflkb-1,TMA00316,CGRP-Gamma 2,False,False,False,none
abmfbpka-1,TMA00316,CGRP-Gamma 2,False,False,False,none
abmfcnfb-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abmjbojp-1,TMA00316,C-LTMR,False,False,False,none
abnibcib-1,TMA00316,TrpM8,False,False,False,none
abnibndb-1,TMA00316,C-LTMR,False,False,False,none
abnlalpb-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abnmlehk-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abnoogmd-1,TMA00316,TrpM8,False,False,False,none
abnpdmim-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abnpfemb-1,TMA00316,CGRP-Zeta,False,False,False,none
aboebmbb-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abofmjjg-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abofoddk-1,TMA00316,CGRP-Gamma 2,False,False,False,none
aboihepn-1,TMA00316,CGRP-Beta,False,False,False,none
abojhmpf-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abpekkji-1,TMA00316,CGRP-Gamma 1,False,False,False,none
abpjmhia-1,TMA00316,Proprioceptors,False,False,False,none
abplajhi-1,TMA00316,C-LTMR,False,False,False,none
acaajmce-1,TMA00316,CGRP-Theta,False,False,False,none
acafaegl-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acahcfnm-1,TMA00316,CGRP-Eta,False,False,False,none
acahplcf-1,TMA00316,CGRP-Zeta,False,False,False,none
acakcedj-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acalflbf-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
acamlkib-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acbblhmg-1,TMA00316,Adelta-LTMR,False,False,False,none
acbhcodp-1,TMA00316,CGRP-Theta,False,False,False,none
acbhkdpd-1,TMA00316,CGRP-Epsilion,False,False,False,none
acbiokjb-1,TMA00316,CGRP-Zeta,False,False,False,none
acbkeeij-1,TMA00316,C-LTMR,False,False,False,none
acbkpiaa-1,TMA00316,CGRP-Gamma 2,False,False,False,none
accaghmn-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
accenmpf-1,TMA00316,C-LTMR,False,False,False,none
accfdghb-1,TMA00316,Abeta-Field,False,False,False,none
acdfkhog-1,TMA00316,CGRP-Zeta,False,False,False,none
acdmckfc-1,TMA00316,C-LTMR,False,False,False,none
acdpdlap-1,TMA00316,CGRP-Gamma 2,False,False,False,none
aceaecde-1,TMA00316,CGRP-Gamma 2,False,False,False,none
aceahekb-1,TMA00316,CGRP-Gamma 2,False,False,False,none
aceajhbc-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acecohok-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acejeobf-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acekhfma-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acenojjp-1,TMA00316,C-LTMR,False,False,False,none
aceocaoa-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acfbeoio-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acfehdln-1,TMA00316,CGRP-Eta,False,False,False,none
acffgcja-1,TMA00316,TrpM8,False,False,False,none
acfgdfdd-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acfhfkam-1,TMA00316,C-LTMR,False,False,False,none
acgabnlc-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acgeknde-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
acgkbfgp-1,TMA00316,CGRP-Gamma 1,False,False,False,none
achajhki-1,TMA00316,CGRP-Theta,False,False,False,none
achdaaae-1,TMA00316,CGRP-Gamma 1,False,False,False,none
achecohi-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
achikfkj-1,TMA00316,CGRP-Gamma 2,False,False,False,none
achjeimh-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
achjhifp-1,TMA00316,CGRP-Eta,False,False,False,none
achjnkff-1,TMA00316,C-LTMR,False,False,False,none
achpmdem-1,TMA00316,CGRP-Beta,False,False,False,none
acibfccd-1,TMA00316,Abeta-Field,False,False,False,none
acihddkp-1,TMA00316,Abeta-Field,False,False,False,none
acihgokl-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acilfjol-1,TMA00316,CGRP-Eta,False,False,False,none
acimiakc-1,TMA00316,C-LTMR,False,False,False,none
aciolpio-1,TMA00316,Adelta-LTMR,False,False,False,none
acjbamma-1,TMA00316,CGRP-Eta,False,False,False,none
acjcpapg-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acjdeffk-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acjdkfba-1,TMA00316,C-LTMR,False,False,False,none
acjdoohj-1,TMA00316,TrpM8,False,False,False,none
acjellji-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acjfgbeg-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acjflbea-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
acjflgol-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acjnaimg-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acjojlni-1,TMA00316,CGRP-Gamma 2,False,False,False,none
ackalfho-1,TMA00316,CGRP-Gamma 2,False,False,False,none
ackfhpec-1,TMA00316,C-LTMR,False,False,False,none
acldbdmc-1,TMA00316,C-LTMR,False,False,False,none
acldoola-1,TMA00316,C-LTMR,False,False,False,none
acleilkh-1,TMA00316,CGRP-Gamma 1,False,False,False,none
aclfjkpl-1,TMA00316,CGRP-Gamma 2,False,False,False,none
aclhnadp-1,TMA00316,Adelta-LTMR,False,False,False,none
acmdjhki-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acmffajl-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acmfkhbc-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acmlanei-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acmmoeja-1,TMA00316,C-LTMR,False,False,False,none
acnaieje-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
acncjmfn-1,TMA00316,TrpM8,False,False,False,none
acnebene-1,TMA00316,TrpM8,False,False,False,none
acngigjj-1,TMA00316,TrpM8,False,False,False,none
acnhhcnh-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acnkgleh-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acnmepnn-1,TMA00316,CGRP-Alpha,False,False,False,none
acnndfag-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acnodfne-1,TMA00316,CGRP-Theta,False,False,False,none
acoiinen-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
acojhdgf-1,TMA00316,Adelta-LTMR,False,False,False,none
acokolce-1,TMA00316,CGRP-Gamma 2,False,False,False,none
acolbkch-1,TMA00316,CGRP-Eta,False,False,False,none
acomdlcg-1,TMA00316,C-LTMR,False,False,False,none
aconjned-1,TMA00316,CGRP-Gamma 1,False,False,False,none
acpdhnlb-1,TMA00316,TrpM8,False,False,False,none
acpejojn-1,TMA00316,CGRP-Alpha,False,False,False,none
acpgahlp-1,TMA00316,CGRP-Gamma 2,False,False,False,none
adakmkhl-1,TMA00316,CGRP-Eta,False,False,False,none
adakpnna-1,TMA00316,TrpM8,False,False,False,none
adalggei-1,TMA00316,TrpM8,False,False,False,none
adaphkea-1,TMA00316,CGRP-Alpha,False,False,False,none
adbhcdmj-1,TMA00316,CGRP-Alpha,False,False,False,none
adbobddj-1,TMA00316,CGRP-Gamma 1,False,False,False,none
adbpcooo-1,TMA00316,CGRP-Alpha,False,False,False,none
adeegkbk-1,TMA00316,Adelta-LTMR,False,False,False,none
adeghaid-1,TMA00316,CGRP-Gamma 2,False,False,False,none
adejenim-1,TMA00316,CGRP-Gamma 2,False,False,False,none
adempidi-1,TMA00316,Abeta-Field,False,False,False,none
adepiiad-1,TMA00316,C-LTMR,False,False,False,none
adfeaign-1,TMA00316,Abeta-Field,False,False,False,none
adfmlmdj-1,TMA00316,TrpM8,False,False,False,none
adfnohog-1,TMA00316,CGRP-Alpha,False,False,False,none
adfpmked-1,TMA00316,TrpM8,False,False,False,none
adgamimd-1,TMA00316,CGRP-Gamma 2,False,False,False,none
adgaplio-1,TMA00316,TrpM8,False,False,False,none
adgbnmik-1,TMA00316,CGRP-Epsilion,False,False,False,none
adggpbba-1,TMA00316,TrpM8,False,False,False,none
adgjgghi-1,TMA00316,TrpM8,False,False,False,none
adgkgmff-1,TMA00316,CGRP-Gamma 1,False,False,False,none
adjaepml-1,TMA00316,CGRP-Beta,False,False,False,none
adlfenaj-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adlfiipn-1,TMA00316,Abeta-Field,False,False,False,none
adlgaekl-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adlgfdpo-1,TMA00316,Abeta-Field,False,False,False,none
adlhfdil-1,TMA00316,Proprioceptors,False,False,False,none
adllcloe-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adllmcgh-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adogimfi-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adoiieej-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adoilnfa-1,TMA00316,C-LTMR,False,False,False,none
adojbcjh-1,TMA00316,CGRP-Gamma 1,False,False,False,none
adondcen-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
adonkcai-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aegiflml-1,TMA00316,CGRP-Eta,False,False,False,none
aegkghlg-1,TMA00316,CGRP-Eta,False,False,False,none
aehkiica-1,TMA00316,C-LTMR,False,False,False,none
aehmmgag-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aehnljja-1,TMA00316,CGRP-Alpha,False,False,False,none
aehnpala-1,TMA00316,Abeta-RA-LTMR,False,False,False,none
aehpkbek-1,TMA00316,CGRP-Gamma 1,False,False,False,none
aeihicna-1,TMA00316,CGRP-Gamma 2,False,False,False,none
aeihmnmk-1,TMA00316,CGRP-Theta,False,False,False,none
aejdihde-1,TMA00316,Nonpeptidergic nociceptors,False,False,False,none
aejfnkkh-1,TMA00316,Proprioceptors,False,False,False,none
aejlpbka-1,TMA00316,TrpM8,False,False,False,none
aejoainc-1,TMA00316,Adelta-LTMR,False,False,False,none
aekdomlo-1,TMA00316,CGRP-Eta,False,False,False,none
