cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
abkmjbfe-1,TMA00318,C-LTMR,False,False,False,none
ablfeakp-1,TMA00318,Sst,False,False,False,none
ablfghml-1,TMA00318,TrpM8,False,False,False,none
abliceoc-1,TMA00318,TrpM8,False,False,False,none
abljfamn-1,TMA00318,CGRP-Alpha,False,False,False,none
ablnidjc-1,TMA00318,Proprioceptors,False,False,False,none
ablogepa-1,TMA00318,Proprioceptors,True,False,False,EGFP_Seq1_hi
abmiekfd-1,TMA00318,C-LTMR,False,False,False,none
abmjlmah-1,TMA00318,CGRP-Zeta,False,False,False,none
abncaikb-1,TMA00318,Abeta-Field,False,False,False,none
abndjnpn-1,TMA00318,CGRP-Epsilion,False,False,False,none
abnfadof-1,TMA00318,Sst,False,False,False,none
abnhdkoa-1,TMA00318,CGRP-Eta,False,False,False,none
abnmhhbo-1,TMA00318,CGRP-Epsilion,False,False,False,none
abnmjohg-1,TMA00318,CGRP-Gamma 1,False,False,False,none
abobbhch-1,TMA00318,CGRP-Gamma 2,False,False,False,none
abobnfod-1,TMA00318,CGRP-Theta,False,False,False,none
aboboohn-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aboegmlb-1,TMA00318,CGRP-Gamma 1,False,False,False,none
abofhgdo-1,TMA00318,C-LTMR,False,False,False,none
aboibjej-1,TMA00318,TrpM8,False,False,False,none
aboifoni-1,TMA00318,C-LTMR,False,False,False,none
abopdbin-1,TMA00318,C-LTMR,False,False,False,none
aboplcnk-1,TMA00318,TrpM8,False,False,False,none
abpdloek-1,TMA00318,TrpM8,False,False,False,none
abpfdeap-1,TMA00318,CGRP-Alpha,False,False,False,none
abpfpkkn-1,TMA00318,CGRP-Alpha,False,False,False,none
abpgcndn-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
abpgjiap-1,TMA00318,CGRP-Gamma 1,False,False,False,none
acapcbfb-1,TMA00318,TrpM8,False,False,False,none
acbiebkl-1,TMA00318,TrpM8,False,False,False,none
acbkoehk-1,TMA00318,TrpM8,False,False,False,none
acblkdpc-1,TMA00318,CGRP-Eta,False,False,False,none
acbohafh-1,TMA00318,CGRP-Eta,False,False,False,none
acccdfle-1,TMA00318,CGRP-Gamma 2,False,False,False,none
accehine-1,TMA00318,CGRP-Gamma 1,False,False,False,none
acdamepi-1,TMA00318,CGRP-Gamma 2,False,False,False,none
acdfjmbb-1,TMA00318,Adelta-LTMR,False,False,False,none
acdjnike-1,TMA00318,CGRP-Beta,False,False,False,none
acdmbcbj-1,TMA00318,C-LTMR,False,False,False,none
acdpemml-1,TMA00318,TrpM8,False,False,False,none
acejjmjb-1,TMA00318,CGRP-Alpha,False,False,False,none
acenldkp-1,TMA00318,CGRP-Gamma 2,False,True,False,dTomato_Seq2_hi
acfbopij-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
acfeanhj-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
acffokjl-1,TMA00318,CGRP-Theta,False,False,False,none
acfhfcgd-1,TMA00318,CGRP-Beta,False,False,False,none
acfihkgo-1,TMA00318,CGRP-Alpha,False,False,False,none
acfjhhfp-1,TMA00318,CGRP-Eta,False,False,False,none
acfkoeoj-1,TMA00318,Adelta-LTMR,False,False,False,none
acfmheka-1,TMA00318,CGRP-Theta,False,False,False,none
acfnfnbc-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
acgjbelf-1,TMA00318,C-LTMR,False,False,False,none
acgjclcm-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
acgjmbim-1,TMA00318,CGRP-Eta,False,False,False,none
acgkcjpe-1,TMA00318,C-LTMR,False,False,False,none
acgljnba-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
acgmoneo-1,TMA00318,CGRP-Gamma 1,False,False,False,none
achgjdmh-1,TMA00318,CGRP-Zeta,False,False,False,none
achhkpfp-1,TMA00318,CGRP-Gamma 2,False,False,False,none
achilhdi-1,TMA00318,CGRP-Gamma 1,False,False,False,none
achkofda-1,TMA00318,CGRP-Eta,False,False,False,none
achlfhke-1,TMA00318,C-LTMR,False,False,False,none
acinjnja-1,TMA00318,TrpM8,False,False,False,none
acjblbna-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
acjookhn-1,TMA00318,Sst,False,False,False,none
ackamdep-1,TMA00318,CGRP-Gamma 1,False,False,False,none
ackcmdhm-1,TMA00318,CGRP-Eta,False,False,False,none
ackekaoa-1,TMA00318,CGRP-Gamma 1,False,False,False,none
ackilakl-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
acklfimb-1,TMA00318,CGRP-Eta,False,False,False,none
ackliecb-1,TMA00318,C-LTMR,False,False,False,none
ackmpmgp-1,TMA00318,CGRP-Alpha,False,False,False,none
ackooddj-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aclfjpdo-1,TMA00318,CGRP-Gamma 1,False,False,False,none
