cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aaahbdia-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aaakgcko-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
aaanbmpi-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aaangnjd-1,TMA00317,Adelta-LTMR,False,False,False,none
aabakkkd-1,TMA00317,CGRP-Eta,False,False,False,none
aabfimef-1,TMA00317,C-LTMR,False,False,False,none
aabldngg-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aabpmlje-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aacconbo-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aacmjdkh-1,TMA00317,CGRP-Gamma 1,False,False,False,none
aacnibif-1,TMA00317,CGRP-Alpha,False,False,False,none
aadeddal-1,TMA00317,C-LTMR,False,False,False,none
aadehopp-1,TMA00317,CGRP-Theta,False,False,False,none
aadekgom-1,TMA00317,CGRP-Epsilion,False,False,False,none
aadjhmkg-1,TMA00317,Proprioceptors,False,False,False,none
aadjnmld-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aadkokmo-1,TMA00317,TrpM8,False,False,False,none
aadmbakn-1,TMA00317,CGRP-Zeta,False,False,False,none
aadncfdj-1,TMA00317,CGRP-Eta,False,False,False,none
aadnhpaa-1,TMA00317,CGRP-Eta,False,False,False,none
aadonhbp-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aadooile-1,TMA00317,TrpM8,False,False,False,none
aaecgbdi-1,TMA00317,TrpM8,False,False,False,none
aaefgpnn-1,TMA00317,CGRP-Epsilion,False,False,False,none
aaefkdee-1,TMA00317,CGRP-Theta,False,False,False,none
aaeinpog-1,TMA00317,Adelta-LTMR,False,False,False,none
aaekcaho-1,TMA00317,CGRP-Theta,False,False,False,none
aaepgjic-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aafeldil-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
aaffpdcb-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
aahogpam-1,TMA00317,CGRP-Gamma 1,False,False,False,none
aahohkdl-1,TMA00317,Adelta-LTMR,False,False,False,none
aaibagfd-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aaihlgfj-1,TMA00317,Proprioceptors,False,False,False,none
aaijpdfl-1,TMA00317,CGRP-Theta,False,False,False,none
aailgdhk-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aaimamok-1,TMA00317,TrpM8,False,False,False,none
aaimjeip-1,TMA00317,Proprioceptors,False,False,False,none
aaindeea-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
aaiopppb-1,TMA00317,C-LTMR,False,False,False,none
aajcpcol-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
aajdgiae-1,TMA00317,Proprioceptors,False,False,False,none
aajjalje-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
aamefpka-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aamehgcj-1,TMA00317,TrpM8,False,False,False,none
aamhncne-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aamigkon-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aampmeak-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
aanhbjag-1,TMA00317,CGRP-Gamma 1,False,False,False,none
abeniala-1,TMA00317,Proprioceptors,False,False,False,none
abffplnd-1,TMA00317,TrpM8,False,False,False,none
abfphgli-1,TMA00317,CGRP-Alpha,False,False,False,none
abgagmap-1,TMA00317,Sst,False,False,False,none
abgjecmh-1,TMA00317,Sst,False,False,False,none
abglpnka-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
abgnnmnc-1,TMA00317,CGRP-Alpha,False,False,False,none
abhceega-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,none
abhnggkd-1,TMA00317,Abeta-RA-LTMR,False,False,False,none
