cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
gmccegeg-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmcfecdi-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmchdicd-1,TMA00315,CGRP-Alpha,False,False,False,CGRP-Alpha
gmclgjio-1,TMA00315,TrpM8,False,False,False,TrpM8
gmclicai-1,TMA00315,Sst,False,False,False,Sst
gmcodlhp-1,TMA00315,Sst,False,False,False,Sst
gmcpdfnh-1,TMA00315,Sst,False,False,False,Sst
gmdboleg-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
gmdckjhn-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gmddaodd-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmddnkpm-1,TMA00315,Sst,False,False,False,Sst
gmdefkfm-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gmdhmgeh-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmdhoncc-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
gmdhpnip-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmdjbenh-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gmdlalip-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmdlkjjj-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmdphdfe-1,TMA00315,CGRP-Gamma 2,False,False,False,CGRP-Gamma 2
gmebcffp-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gmekchpa-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmekeokg-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmeoglmj-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmfahefn-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gmfegpec-1,TMA00315,Sst,False,False,False,Sst
gmffocco-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gmfjnifm-1,TMA00315,TrpM8,False,False,False,TrpM8
gmglejoj-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
gmgndmlh-1,TMA00315,TrpM8,False,False,False,TrpM8
gmgpcidk-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmhhfolg-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gmhmdbbh-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gmibhmdn-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gmiokdig-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmjchhek-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmjdmbnf-1,TMA00315,TrpM8,False,False,False,TrpM8
gmjfihhf-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmjldgml-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmjlilki-1,TMA00315,CGRP-Theta,False,False,False,CGRP-Theta
gmjmcajh-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmkbokkg-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmkjbdbi-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmkjniae-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmllemld-1,TMA00315,Sst,False,False,False,Sst
gmlnjjmi-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmlpebpk-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
