cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aaaacmnk-1,TMA00316,False,False,False,none
aaababeb-1,TMA00316,False,False,False,none
aaaegioj-1,TMA00316,False,False,False,none
aadidbcn-1,TMA00316,False,False,False,none
aaeepbcc-1,TMA00316,False,False,False,none
aaehdkao-1,TMA00316,False,False,False,none
aaehleel-1,TMA00316,False,False,False,none
aaekfehp-1,TMA00316,False,False,False,none
aaelmjoc-1,TMA00316,False,False,False,none
aaeogafj-1,TMA00316,False,False,False,none
aaepcjdc-1,TMA00316,False,False,False,none
aafdkcbf-1,TMA00316,False,False,False,none
aaflnjlb-1,TMA00316,False,False,False,none
aafonjdc-1,TMA00316,False,False,False,none
aaghhilg-1,TMA00316,False,False,False,none
aagigeib-1,TMA00316,False,False,False,none
aagiofkl-1,TMA00316,False,False,False,none
aagjepdf-1,TMA00316,False,False,False,none
aagmfjcp-1,TMA00316,False,False,False,none
aagnchan-1,TMA00316,False,False,False,none
aagnpbem-1,TMA00316,False,False,False,none
aahbfdme-1,TMA00316,False,False,False,none
aaheppjd-1,TMA00316,False,False,False,none
aahiadbb-1,TMA00316,False,False,False,none
aahidool-1,TMA00316,False,False,False,none
aahmhlhf-1,TMA00316,False,False,False,none
aaiflail-1,TMA00316,False,False,False,none
aaihdajn-1,TMA00316,False,False,False,none
aaijeafj-1,TMA00316,False,False,False,none
aaimebfi-1,TMA00316,False,False,False,none
aainiopi-1,TMA00316,False,False,False,none
aainmmmk-1,TMA00316,False,False,False,none
aainpbgg-1,TMA00316,False,False,False,none
aajadini-1,TMA00316,False,False,False,none
aajakobo-1,TMA00316,False,False,False,none
aajcdibl-1,TMA00316,False,False,False,none
aajcojlp-1,TMA00316,False,False,False,none
aajjfdge-1,TMA00316,False,False,False,none
aajjkeha-1,TMA00316,False,False,False,none
aakbnfki-1,TMA00316,False,False,False,none
aakjnhdg-1,TMA00316,False,False,False,none
aakmfgfn-1,TMA00316,False,False,False,none
aakmhecg-1,TMA00316,False,False,False,none
aaknlifp-1,TMA00316,False,False,False,none
aaknndjl-1,TMA00316,False,False,False,none
aaknpgjl-1,TMA00316,False,False,False,none
aaldeolf-1,TMA00316,False,False,False,none
aalekcnj-1,TMA00316,False,False,False,none
aalladpm-1,TMA00316,False,False,False,none
aalldlhj-1,TMA00316,False,False,False,none
aamafedb-1,TMA00316,False,False,False,none
aamdacmh-1,TMA00316,False,False,False,none
aamldbbg-1,TMA00316,False,False,False,none
aanfpdfh-1,TMA00316,False,False,False,none
aangibgl-1,TMA00316,False,False,False,none
aangjnen-1,TMA00316,False,False,False,none
aanhhmda-1,TMA00316,False,False,False,none
aanimgjg-1,TMA00316,False,False,False,none
aanjdifb-1,TMA00316,False,False,False,none
aanlcpii-1,TMA00316,False,False,False,none
aaoaffcf-1,TMA00316,False,False,False,none
aaodfikg-1,TMA00316,True,False,False,EGFP_Seq1_hi
aaodjncb-1,TMA00316,False,False,False,none
aaoekcpm-1,TMA00316,False,False,False,none
aaolbkkc-1,TMA00316,False,False,False,none
aaoolphj-1,TMA00316,False,False,False,none
aapeafmk-1,TMA00316,False,False,False,none
aaphboed-1,TMA00316,False,False,False,none
aapkfkia-1,TMA00316,False,False,False,none
aapnkdmp-1,TMA00316,False,False,False,none
aapnmnnb-1,TMA00316,False,False,False,none
abacdnbj-1,TMA00316,False,False,False,none
abaecenk-1,TMA00316,False,False,False,none
abainlfj-1,TMA00316,False,False,False,none
abajllde-1,TMA00316,False,False,False,none
abakodng-1,TMA00316,False,False,False,none
abalchgg-1,TMA00316,False,False,False,none
abaoeege-1,TMA00316,False,False,False,none
abaonecm-1,TMA00316,False,False,False,none
abapebne-1,TMA00316,False,False,False,none
abbaoeji-1,TMA00316,False,False,False,none
abbdkolj-1,TMA00316,False,False,False,none
abbfcioc-1,TMA00316,False,False,False,none
abbgmgpi-1,TMA00316,False,False,False,none
abbhbijp-1,TMA00316,False,False,False,none
abbhgfal-1,TMA00316,False,False,False,none
