cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
abnfadof-1,TMA00318,False,False,False,none
abnhdkoa-1,TMA00318,False,False,False,none
abnmhhbo-1,TMA00318,False,False,False,none
abnmjohg-1,TMA00318,False,False,False,none
abobbhch-1,TMA00318,False,False,False,none
abobnfod-1,TMA00318,False,False,False,none
aboboohn-1,TMA00318,False,False,False,none
aboegmlb-1,TMA00318,False,False,False,none
abofhgdo-1,TMA00318,False,False,False,none
aboibjej-1,TMA00318,False,False,False,none
aboifoni-1,TMA00318,False,False,False,none
abopdbin-1,TMA00318,False,False,False,none
aboplcnk-1,TMA00318,False,False,False,none
abpdloek-1,TMA00318,False,False,False,none
abpfdeap-1,TMA00318,False,False,False,none
abpfpkkn-1,TMA00318,False,False,False,none
abpgcndn-1,TMA00318,False,False,False,none
abpgjiap-1,TMA00318,False,False,False,none
acapcbfb-1,TMA00318,False,False,False,none
acbiebkl-1,TMA00318,False,False,False,none
acbkoehk-1,TMA00318,False,False,False,none
acblkdpc-1,TMA00318,False,False,False,none
acbodjdp-1,TMA00318,False,False,False,none
acbohafh-1,TMA00318,False,False,False,none
acccdfle-1,TMA00318,False,False,False,none
accehine-1,TMA00318,False,False,False,none
acdamepi-1,TMA00318,False,False,False,none
acdfjmbb-1,TMA00318,False,False,False,none
acdigjcc-1,TMA00318,False,False,False,none
acdjnike-1,TMA00318,False,False,False,none
acdmbcbj-1,TMA00318,False,False,False,none
acdpemml-1,TMA00318,False,False,False,none
acejjmjb-1,TMA00318,False,False,False,none
acenldkp-1,TMA00318,False,True,False,dTomato_Seq2_hi
acfbopij-1,TMA00318,False,False,False,none
acfeanhj-1,TMA00318,False,False,False,none
acffokjl-1,TMA00318,False,False,False,none
acfhfcgd-1,TMA00318,False,False,False,none
acfihkgo-1,TMA00318,False,False,False,none
acfjhhfp-1,TMA00318,False,False,False,none
acfkoeoj-1,TMA00318,False,False,False,none
acfmheka-1,TMA00318,False,False,False,none
acfnfnbc-1,TMA00318,False,False,False,none
acgeifmh-1,TMA00318,False,False,False,none
acgjbelf-1,TMA00318,False,False,False,none
acgjclcm-1,TMA00318,False,False,False,none
acgjmbim-1,TMA00318,False,False,False,none
acgkcjpe-1,TMA00318,False,False,False,none
acgljnba-1,TMA00318,False,False,False,none
acgmoneo-1,TMA00318,False,False,False,none
acgodeng-1,TMA00318,False,False,False,none
achgaodf-1,TMA00318,False,False,False,none
achgjdmh-1,TMA00318,False,False,False,none
achhkpfp-1,TMA00318,False,False,False,none
achilhdi-1,TMA00318,False,False,False,none
achkofda-1,TMA00318,False,False,False,none
achlfhke-1,TMA00318,False,False,False,none
acinjnja-1,TMA00318,False,False,False,none
acjblbna-1,TMA00318,False,False,False,none
acjookhn-1,TMA00318,False,False,False,none
ackamdep-1,TMA00318,False,False,False,none
ackcmdhm-1,TMA00318,False,False,False,none
ackdejem-1,TMA00318,False,False,False,none
ackekaoa-1,TMA00318,False,False,False,none
ackilakl-1,TMA00318,False,False,False,none
ackkboam-1,TMA00318,False,False,False,none
acklfimb-1,TMA00318,False,False,False,none
ackliecb-1,TMA00318,False,False,False,none
ackmpmgp-1,TMA00318,False,False,False,none
ackooddj-1,TMA00318,False,False,False,none
aclfjpdo-1,TMA00318,False,False,False,none
aclghmkg-1,TMA00318,False,False,False,none
aclhepgo-1,TMA00318,False,False,False,none
aclkpnfe-1,TMA00318,False,False,False,none
acmaldbk-1,TMA00318,False,False,False,none
acmccmgf-1,TMA00318,False,False,False,none
acmckfob-1,TMA00318,False,False,False,none
acmedmmc-1,TMA00318,False,False,False,none
acmjlbpd-1,TMA00318,False,False,False,none
acmjnmfm-1,TMA00318,False,False,False,none
acmjocpj-1,TMA00318,False,False,False,none
acmjpopc-1,TMA00318,False,False,False,none
acmlmmhf-1,TMA00318,False,False,False,none
acmpmhml-1,TMA00318,False,False,False,none
acnbggdn-1,TMA00318,False,False,False,none
acncchpk-1,TMA00318,False,False,False,none
acnhlhfh-1,TMA00318,False,False,False,none
acnhomeg-1,TMA00318,False,False,False,none
